date,pathogenic E. coli,salmonella,norovirus,campylobacter jejuni,clostridium_perfringens
17-Jan,6,0,75,0,0
17-Feb,0,0,9,3,10
17-Mar,3,0,48,3,5
17-Apr,46,0,217,0,0
17-May,129,140,188,18,27
17-Jun,719,23,41,0,0
17-Jul,74,83,0,77,14
17-Aug,1033,110,178,0,13
17-Sep,284,129,89,0,0
17-Oct,89,146,22,0,0
17-Nov,0,31,15,0,0
17-Dec,0,0,86,0,0
